Hour,DryBulb,RT_EC
22,60,35.27
23,60,31.91
24,59,30.96
1,59,32.04
2,58,32.36
3,58,30.73
4,57,30.71
5,57,31.40
6,58,30.88
7,59,33.69
8,60,41.97
9,62,39.70
10,64,43.18
11,66,54.75
12,68,58.63
13,72,58.23
14,75,60.62
15,68,61.03
16,73,55.24
17,74,42.85
18,73,40.67
19,71,40.11
20,69,47.96
21,67,39.43
22,65,38.88
23,64,36.26
24,63,35.14
1,58,31.83
2,56,31.57
3,58,31.53
4,57,29.79
5,58,30.08
6,58,32.86
7,58,33.96
8,58,36.58
9,59,37.79
10,61,45.08
11,63,46.49
12,63,45.27
13,64,39.26
14,65,38.76
15,65,39.01
16,63,38.31
17,63,39.10
18,63,42.76
19,62,39.40
20,61,48.22
21,60,47.06
22,59,39.53
23,58,38.45
24,58,32.38
1,57,32.39
2,56,30.98
3,57,21.53
4,58,28.40
5,58,30.24
6,57,30.63
7,57,31.15
8,56,32.82
9,58,38.85
10,62,45.29
11,65,42.88
12,68,44.54
13,68,40.42
14,71,41.63
15,69,44.31
16,67,43.74
17,66,59.93
18,67,71.21
19,67,68.89
20,66,72.28
21,65,73.40
22,65,43.09
23,66,38.77
24,64,36.64
1,66,33.53
2,66,33.00
3,65,33.39
4,64,32.84
5,62,35.20
6,60,39.95
7,59,39.86
8,59,43.93
9,60,54.31
10,62,54.77
11,65,45.23
12,67,45.39
13,69,47.00
14,69,57.50
15,69,60.91
16,70,53.56
17,71,55.97
18,70,55.55
19,68,41.66
20,65,47.87
21,64,45.14
22,62,38.25
23,60,36.98
24,59,33.25
1,62,33.68
2,61,32.36
3,61,30.55
4,60,7.60
5,61,31.96
6,62,38.52
7,62,69.78
8,62,52.37
9,64,44.00
10,66,39.60
11,69,52.41
12,73,50.27
13,76,52.56
14,81,58.78
15,82,65.04
16,82,68.15
17,81,50.81
18,81,54.31
19,77,54.33
20,75,61.01
21,74,59.76
22,73,64.91
23,72,52.76
24,72,44.89
1,60,33.08
2,60,33.83
3,60,35.05
4,59,34.92
5,58,35.22
6,58,32.60
7,58,48.81
8,59,53.61
9,59,47.21
10,60,51.54
11,60,45.12
12,60,45.23
13,60,45.20
14,61,50.02
15,61,43.58
16,61,41.72
17,60,45.24
18,60,58.31
19,60,47.15
20,60,45.67
21,59,43.98
22,59,40.23
23,59,36.69
24,60,33.10
1,59,33.07
2,59,28.28
3,59,27.85
4,58,26.12
5,57,2.21
6,56,0.00
7,55,28.98
8,54,29.92
9,56,31.01
10,57,38.45
11,59,43.80
12,61,36.04
13,62,35.99
14,64,35.52
15,65,33.19
16,66,34.72
17,66,32.91
18,67,34.77
19,65,31.83
20,62,35.98
21,59,33.92
22,58,31.11
23,56,34.33
24,53,31.46
1,58,36.47
2,58,31.19
3,58,29.39
4,58,31.59
5,58,30.45
6,57,30.90
7,56,41.22
8,57,60.11
9,57,61.67
10,59,47.74
11,58,55.86
12,58,56.71
13,57,38.09
14,57,46.21
15,57,53.40
16,56,50.52
17,57,57.06
18,57,46.07
19,57,46.72
20,56,49.21
21,55,42.08
22,54,34.06
23,53,32.32
24,53,34.03
1,64,29.62
2,64,30.37
3,65,26.53
4,67,25.71
5,65,25.98
6,65,25.54
7,65,31.43
8,64,32.20
9,64,33.89
10,66,36.68
11,68,39.08
12,71,40.59
13,73,39.89
14,65,38.45
15,63,35.48
16,62,33.81
17,63,34.76
18,69,45.56
19,65,47.41
20,65,43.02
21,65,36.91
22,64,30.26
23,65,29.14
24,65,28.02
1,65,29.75
2,67,27.80
3,65,26.01
4,65,24.79
5,63,25.77
6,63,27.49
7,63,34.10
8,63,34.61
9,64,34.04
10,66,35.03
11,69,41.50
12,72,41.69
13,75,31.20
14,77,33.54
15,77,33.74
16,77,32.17
17,76,30.10
18,75,31.12
19,73,41.56
20,71,32.14
21,66,37.10
22,65,30.94
23,62,25.92
24,59,23.97
1,59,32.83
2,60,28.47
3,60,29.15
4,61,30.32
5,66,34.02
6,63,43.66
7,60,52.83
8,59,49.82
9,60,45.25
10,60,45.09
11,59,49.53
12,58,45.11
13,59,42.16
14,60,43.99
15,63,38.10
16,60,37.15
17,56,36.10
18,52,41.57
19,53,43.45
20,48,55.21
21,49,49.87
22,49,35.46
23,50,34.93
24,50,33.86
1,65,46.63
2,65,37.83
3,65,36.48
4,67,36.64
5,66,36.88
6,65,40.77
7,64,53.39
8,64,69.66
9,66,74.10
10,67,132.55
11,69,64.51
12,69,46.83
13,69,42.48
14,69,55.59
15,68,46.13
16,68,42.40
17,68,43.83
18,67,47.08
19,66,48.70
20,65,45.51
21,65,52.32
22,64,51.43
23,63,38.97
24,63,35.25
1,63,37.82
2,64,34.38
3,64,33.72
4,62,33.37
5,63,33.56
6,60,38.01
7,58,35.90
8,60,40.08
9,63,44.09
10,64,44.60
11,64,41.84
12,66,57.46
13,69,57.66
14,69,57.02
15,67,45.42
16,68,40.20
17,74,36.08
18,72,35.63
19,71,36.16
20,71,42.54
21,67,46.87
22,64,54.10
23,62,39.30
24,60,38.00
1,48,35.66
2,50,35.79
3,51,35.78
4,50,35.58
5,48,36.27
6,48,35.50
7,46,36.37
8,49,35.02
9,51,36.47
10,53,39.07
11,54,38.07
12,54,37.99
13,53,38.19
14,53,36.85
15,53,36.05
16,53,36.47
17,52,40.81
18,52,43.54
19,52,45.47
20,52,50.67
21,51,49.25
22,50,39.42
23,51,36.19
24,51,35.81
1,52,32.24
2,52,30.91
3,52,30.46
4,53,32.40
5,53,34.46
6,54,30.54
7,54,31.39
8,55,34.68
9,56,35.40
10,58,41.01
11,58,38.33
12,62,45.70
13,61,41.56
14,61,36.38
15,59,40.46
16,60,36.76
17,57,35.20
18,55,40.51
19,54,40.15
20,54,42.76
21,52,43.33
22,52,40.97
23,50,36.75
24,49,37.06
1,64,32.22
2,65,31.97
3,66,31.70
4,65,28.76
5,65,5.35
6,66,31.04
7,66,34.62
8,66,35.36
9,67,37.94
10,67,38.69
11,70,44.51
12,75,39.40
13,77,36.75
14,79,40.58
15,80,40.26
16,82,40.26
17,81,38.71
18,79,38.27
19,77,39.32
20,77,34.75
21,76,35.53
22,74,35.79
23,70,33.15
24,70,32.20
1,63,53.87
2,61,62.80
3,60,35.21
4,59,33.16
5,59,33.79
6,57,33.70
7,58,33.27
8,59,35.61
9,61,36.21
10,64,37.94
11,69,49.34
12,75,53.46
13,75,58.27
14,79,60.86
15,79,68.30
16,79,75.37
17,80,68.33
18,80,43.58
19,77,47.85
20,74,40.90
21,73,64.35
22,71,40.10
23,70,37.34
24,69,34.91
1,59,33.97
2,57,32.50
3,57,32.51
4,57,32.73
5,58,32.59
6,58,32.51
7,56,32.67
8,61,36.66
9,65,40.15
10,65,46.32
11,68,53.66
12,66,56.03
13,65,57.14
14,66,62.10
15,65,62.81
16,66,68.28
17,67,65.84
18,66,73.00
19,68,53.25
20,69,44.96
21,66,47.96
22,66,46.56
23,66,56.67
24,66,39.75
1,64,47.40
2,64,45.87
3,62,39.93
4,62,38.14
5,60,42.75
6,61,38.52
7,62,44.49
8,67,48.06
9,70,46.86
10,74,48.63
11,78,59.90
12,82,60.65
13,81,69.47
14,82,73.36
15,70,140.34
16,70,126.26
17,72,176.02
18,75,106.68
19,77,67.73
20,75,65.68
21,72,84.15
22,66,72.11
23,67,53.75
24,67,51.71
1,62,42.21
2,64,43.27
3,64,36.68
4,63,37.94
5,62,37.44
6,61,37.26
7,61,37.55
8,61,36.55
9,61,37.06
10,61,38.46
11,61,37.74
12,61,40.67
13,60,42.41
14,59,37.46
15,58,36.75
16,59,37.35
17,59,37.34
18,59,37.11
19,58,34.67
20,58,34.78
21,58,36.50
22,57,35.36
23,56,33.72
24,55,39.25
1,55,36.76
2,55,36.38
3,55,33.90
4,55,33.41
5,55,33.08
6,55,32.40
7,55,10.84
8,55,15.48
9,55,40.02
10,55,37.25
11,55,34.82
12,55,35.63
13,57,37.57
14,57,37.76
15,57,37.29
16,57,34.06
17,57,32.99
18,57,33.37
19,57,34.24
20,56,33.73
21,56,33.29
22,56,34.15
23,55,32.63
24,55,32.26
1,54,31.51
2,54,27.30
3,54,0.00
4,54,0.00
5,54,0.00
6,54,0.00
7,54,42.79
8,55,38.34
9,56,35.98
10,57,36.62
11,58,37.39
12,59,36.71
13,59,36.16
14,59,35.91
15,62,36.06
16,64,35.91
17,62,37.25
18,61,38.00
19,59,36.47
20,59,35.98
21,58,35.31
22,58,34.37
23,58,33.19
24,58,33.31
1,57,39.95
2,57,35.09
3,58,32.06
4,57,33.02
5,56,34.28
6,56,45.49
7,55,42.16
8,55,35.38
9,55,33.92
10,57,37.84
11,56,38.74
12,56,38.00
13,58,36.90
14,57,36.97
15,58,37.42
16,59,39.28
17,59,38.66
18,59,38.22
19,58,40.50
20,58,39.88
21,58,38.25
22,57,35.71
23,57,33.32
24,57,36.12
1,59,48.21
2,63,43.34
3,63,35.87
4,62,32.55
5,63,32.41
6,63,33.12
7,62,32.09
8,64,31.80
9,67,31.79
10,71,38.79
11,77,47.44
12,80,48.22
13,83,50.54
14,87,64.39
15,87,72.61
16,88,72.74
17,88,74.54
18,87,60.62
19,87,53.25
20,85,59.38
21,83,59.79
22,79,63.01
23,77,54.43
24,74,127.14
1,59,31.58
2,59,30.90
3,59,27.63
4,58,21.96
5,58,22.38
6,58,30.92
7,58,32.37
8,58,33.99
9,58,33.29
10,59,33.62
11,59,35.65
12,60,36.15
13,60,34.33
14,60,34.30
15,60,32.27
16,60,31.74
17,59,31.84
18,59,31.66
19,58,32.23
20,58,33.43
21,57,33.52
22,57,31.41
23,57,31.55
24,56,34.12
1,57,34.43
2,56,32.36
3,56,30.37
4,56,2.55
5,56,0.00
6,55,30.83
7,54,41.92
8,54,35.93
9,54,34.58
10,55,34.57
11,56,35.66
12,58,35.82
13,59,38.26
14,61,39.93
15,61,42.46
16,62,37.19
17,62,37.81
18,62,38.94
19,62,38.32
20,61,38.52
21,60,44.89
22,60,39.24
23,60,34.05
24,60,34.38
1,63,50.07
2,62,62.07
3,61,56.50
4,61,39.08
5,62,63.66
6,62,117.53
7,62,38.39
8,62,34.80
9,64,44.15
10,66,40.89
11,66,49.58
12,67,53.06
13,66,51.60
14,67,56.45
15,67,59.25
16,66,57.18
17,66,60.55
18,65,63.57
19,65,36.51
20,63,38.18
21,62,38.47
22,62,35.62
23,62,33.39
24,61,34.55
1,61,38.43
2,61,32.28
3,61,31.46
4,60,32.61
5,61,33.07
6,62,33.06
7,62,32.92
8,63,31.49
9,66,31.12
10,69,32.27
11,74,33.35
12,77,34.65
13,79,42.31
14,83,46.91
15,83,59.91
16,85,62.85
17,85,69.90
18,85,67.37
19,84,56.02
20,78,68.73
21,75,65.50
22,74,55.48
23,72,46.07
24,73,52.21
1,60,31.18
2,61,30.60
3,61,28.06
4,61,26.21
5,61,25.82
6,61,30.50
7,62,39.95
8,61,38.66
9,61,34.06
10,61,33.66
11,62,34.36
12,63,35.52
13,62,36.11
14,61,37.06
15,61,34.53
16,62,33.86
17,62,34.09
18,61,37.95
19,61,36.69
20,61,41.61
21,61,35.85
22,61,31.96
23,61,29.23
24,61,29.06
1,61,35.94
2,59,30.69
3,58,29.65
4,59,29.40
5,58,29.27
6,56,29.41
7,57,30.59
8,58,31.42
9,60,31.98
10,63,31.41
11,64,33.27
12,66,33.94
13,67,35.43
14,68,34.48
15,68,36.41
16,67,36.71
17,67,37.08
18,67,37.51
19,67,36.99
20,70,54.89
21,67,54.11
22,65,44.04
23,65,30.42
24,64,31.81
1,62,27.87
2,62,26.41
3,62,32.70
4,63,32.99
5,63,32.15
6,62,36.92
7,62,38.15
8,63,38.28
9,66,35.77
10,70,37.74
11,72,50.25
12,75,52.23
13,77,49.58
14,79,61.61
15,81,67.27
16,81,54.61
17,81,56.62
18,81,59.78
19,80,54.68
20,78,63.49
21,77,53.05
22,73,37.44
23,71,35.06
24,71,32.91
1,63,42.93
2,63,37.31
3,63,34.73
4,62,30.30
5,62,29.77
6,61,27.08
7,60,35.97
8,59,40.11
9,63,35.80
10,66,35.37
11,69,38.05
12,69,42.41
13,70,41.32
14,74,43.22
15,70,39.89
16,69,39.78
17,68,44.37
18,69,41.82
19,68,35.43
20,71,42.84
21,68,43.93
22,68,35.03
23,68,30.55
24,68,21.36
1,66,39.17
2,65,38.90
3,65,39.07
4,65,37.38
5,65,36.09
6,64,40.41
7,65,43.61
8,63,51.71
9,65,55.48
10,68,54.09
11,68,59.60
12,69,60.02
13,69,65.78
14,69,59.58
15,69,56.23
16,70,57.49
17,68,56.95
18,67,42.51
19,65,56.69
20,64,55.62
21,65,58.52
22,65,45.01
23,65,36.15
24,63,32.08
1,57,34.06
2,58,32.38
3,60,32.66
4,61,31.57
5,61,32.92
6,61,32.82
7,63,36.44
8,61,38.32
9,61,29.87
10,63,31.39
11,61,43.07
12,62,42.63
13,64,50.35
14,64,34.06
15,65,42.68
16,64,52.98
17,63,45.51
18,62,38.03
19,63,42.10
20,62,39.22
21,62,42.88
22,61,30.92
23,62,31.59
24,61,31.03
1,61,27.57
2,60,30.65
3,58,29.68
4,58,29.79
5,58,32.15
6,57,29.91
7,57,37.67
8,58,46.05
9,59,36.66
10,59,38.44
11,62,40.84
12,65,42.88
13,66,40.83
14,67,40.12
15,67,41.15
16,67,41.37
17,66,42.97
18,64,38.63
19,64,62.97
20,63,54.31
21,62,42.98
22,60,35.11
23,59,39.48
24,60,31.71
1,59,32.91
2,59,34.63
3,59,31.18
4,58,31.29
5,58,30.77
6,57,31.07
7,57,59.26
8,56,54.13
9,56,51.96
10,57,45.70
11,59,38.52
12,61,46.34
13,63,47.63
14,67,46.07
15,67,38.71
16,64,32.11
17,65,38.74
18,62,48.25
19,62,45.15
20,62,43.11
21,61,53.97
22,61,34.69
23,61,28.23
24,60,28.60
1,60,30.76
2,59,29.40
3,59,29.05
4,60,29.06
5,60,30.20
6,60,32.68
7,60,46.33
8,60,45.69
9,60,51.65
10,59,50.31
11,60,53.03
12,61,47.85
13,62,39.52
14,62,42.69
15,63,41.34
16,63,41.47
17,62,41.91
18,61,42.54
19,61,53.36
20,60,43.34
21,60,36.41
22,60,36.78
23,60,30.27
24,59,32.75
1,64,29.71
2,63,28.59
3,62,27.08
4,60,25.09
5,59,26.74
6,58,27.74
7,57,28.66
8,56,30.56
9,57,33.74
10,59,33.93
11,62,32.08
12,64,34.69
13,66,29.59
14,65,29.38
15,66,27.83
16,66,28.29
17,63,29.74
18,63,33.15
19,62,49.12
20,62,38.03
21,61,36.06
22,61,35.89
23,61,34.20
24,61,30.60
1,54,28.59
2,54,28.44
3,54,27.35
4,54,26.44
5,54,27.40
6,54,33.46
7,55,44.44
8,55,48.36
9,54,53.33
10,55,51.66
11,56,45.81
12,56,52.31
13,60,45.43
14,66,39.15
15,69,40.65
16,68,38.91
17,66,33.26
18,65,37.44
19,63,61.02
20,62,41.95
21,61,45.99
22,60,37.68
23,60,32.19
24,59,36.40
1,58,26.36
2,60,26.71
3,60,25.16
4,60,24.36
5,60,24.60
6,61,27.44
7,60,37.15
8,59,34.18
9,60,35.31
10,62,45.01
11,64,40.44
12,67,36.88
13,67,35.31
14,66,39.86
15,65,36.20
16,64,36.47
17,63,40.03
18,62,48.67
19,62,42.46
20,62,37.87
21,61,35.03
22,60,30.00
23,60,26.67
24,59,26.69
1,54,17.34
2,60,15.63
3,63,22.78
4,63,17.50
5,59,12.51
6,56,13.52
7,54,32.80
8,53,32.91
9,52,30.15
10,53,30.03
11,55,30.46
12,54,30.89
13,55,31.24
14,55,31.38
15,56,30.31
16,54,29.39
17,53,43.05
18,52,41.78
19,49,42.83
20,48,38.44
21,48,33.66
22,47,28.82
23,47,25.74
24,47,23.90
